Date;Day;Hours;Bank Holidays;OffDay;Hours 100;Hours 150;Hours 200;Standby;DayRate;Omzet;Standbyrate;Column1
01/01/2016;Friday;;;;;;;;550;0;250;
02/01/2016;Saturday;;;;;;;;550;0;250;
03/01/2016;Sunday;;;;;;;;550;0;250;
04/01/2016;Monday;;;;;;;;550;0;250;
05/01/2016;Tuesday;;;;;;;;550;0;250;
06/01/2016;Wednesday;;;;;;;;550;0;250;
07/01/2016;Thursday;;;;;;;;550;0;250;
08/01/2016;Friday;;;;;;;;550;0;250;
09/01/2016;Saturday;;;;;;;;550;0;250;
10/01/2016;Sunday;;;;;;;;550;0;250;
11/01/2016;Monday;;;;;;;;550;0;250;
12/01/2016;Tuesday;;;;;;;;550;0;250;
13/01/2016;Wednesday;;;;;;;;550;0;250;
14/01/2016;Thursday;;;;;;;;550;0;250;
15/01/2016;Friday;;;;;;;;550;0;250;
16/01/2016;Saturday;;;;;;;;550;0;250;
17/01/2016;Sunday;;;;;;;;550;0;250;
18/01/2016;Monday;;;;;;;;550;0;250;
19/01/2016;Tuesday;;;;;;;;550;0;250;
20/01/2016;Wednesday;;;;;;;;550;0;250;
21/01/2016;Thursday;;;;;;;;550;0;250;
22/01/2016;Friday;;;;;;;;550;0;250;
23/01/2016;Saturday;;;;;;;;550;0;250;
24/01/2016;Sunday;;;;;;;;550;0;250;
25/01/2016;Monday;;;;;;;;550;0;250;
26/01/2016;Tuesday;;;;;;;;550;0;250;
27/01/2016;Wednesday;;;;;;;;550;0;250;
28/01/2016;Thursday;;;;;;;;550;0;250;
29/01/2016;Friday;;;;;;;;550;0;250;
30/01/2016;Saturday;;;;;;;;550;0;250;
31/01/2016;Sunday;;;;;;;;550;0;250;
01/02/2016;Monday;;;;;;;;550;0;250;
02/02/2016;Tuesday;;;;;;;;550;0;250;
03/02/2016;Wednesday;;;;;;;;550;0;250;
04/02/2016;Thursday;;;;;;;;550;0;250;
05/02/2016;Friday;;;;;;;;550;0;250;
06/02/2016;Saturday;;;;;;;;550;0;250;
07/02/2016;Sunday;;;;;;;;550;0;250;
08/02/2016;Monday;;;;;;;;550;0;250;
09/02/2016;Tuesday;;;;;;;;550;0;250;
10/02/2016;Wednesday;;;;;;;;550;0;250;
11/02/2016;Thursday;;;;;;;;550;0;250;
12/02/2016;Friday;;;;;;;;550;0;250;
13/02/2016;Saturday;;;;;;;;550;0;250;
14/02/2016;Sunday;;;;;;;;550;0;250;
15/02/2016;Monday;;;;;;;;550;0;250;
16/02/2016;Tuesday;;;;;;;;550;0;250;
17/02/2016;Wednesday;;;;;;;;550;0;250;
18/02/2016;Thursday;;;;;;;;550;0;250;
19/02/2016;Friday;;;;;;;;550;0;250;
20/02/2016;Saturday;;;;;;;;550;0;250;
21/02/2016;Sunday;;;;;;;;550;0;250;
22/02/2016;Monday;;;;;;;;550;0;250;
23/02/2016;Tuesday;;;;;;;;550;0;250;
24/02/2016;Wednesday;;;;;;;;550;0;250;
25/02/2016;Thursday;;;;;;;;550;0;250;
26/02/2016;Friday;;;;;;;;550;0;250;
27/02/2016;Saturday;;;;;;;;550;0;250;
28/02/2016;Sunday;;;;;;;;550;0;250;
29/02/2016;Monday;;;;;;;;550;0;250;
01/03/2016;Tuesday;;;;;;;;550;0;250;
02/03/2016;Wednesday;;;;;;;;550;0;250;
03/03/2016;Thursday;;;;;;;;550;0;250;
04/03/2016;Friday;;;;;;;;550;0;250;
05/03/2016;Saturday;;;;;;;;550;0;250;
06/03/2016;Sunday;;;;;;;;550;0;250;
07/03/2016;Monday;;;;;;;;550;0;250;
08/03/2016;Tuesday;;;;;;;;550;0;250;
09/03/2016;Wednesday;;;;;;;;550;0;250;
10/03/2016;Thursday;;;;;;;;550;0;250;
11/03/2016;Friday;;;;;;;;550;0;250;
12/03/2016;Saturday;;;;;;;;550;0;250;
13/03/2016;Sunday;;;;;;;;550;0;250;
14/03/2016;Monday;;;;;;;;550;0;250;
15/03/2016;Tuesday;;;;;;;;550;0;250;
16/03/2016;Wednesday;;;;;;;;550;0;250;
17/03/2016;Thursday;;;;;;;;550;0;250;
18/03/2016;Friday;;;;;;;;550;0;250;
19/03/2016;Saturday;;;;;;;;550;0;250;
20/03/2016;Sunday;;;;;;;;550;0;250;
21/03/2016;Monday;;;;;;;;550;0;250;
22/03/2016;Tuesday;;;;;;;;550;0;250;
23/03/2016;Wednesday;;;;;;;;550;0;250;
24/03/2016;Thursday;;;;;;;;550;0;250;
25/03/2016;Friday;;;;;;;;550;0;250;
26/03/2016;Saturday;;;;;;;;550;0;250;
27/03/2016;Sunday;;;;;;;;550;0;250;
28/03/2016;Monday;;;;;;;;550;0;250;
29/03/2016;Tuesday;;;;;;;;550;0;250;
30/03/2016;Wednesday;;;;;;;;550;0;250;
31/03/2016;Thursday;;;;;;;;550;0;250;
01/04/2016;Friday;;;;;;;;550;0;250;
02/04/2016;Saturday;;;;;;;;550;0;250;
03/04/2016;Sunday;;;;;;;;550;0;250;
04/04/2016;Monday;;;;;;;;550;0;250;
05/04/2016;Tuesday;;;;;;;;550;0;250;
06/04/2016;Wednesday;;;;;;;;550;0;250;
07/04/2016;Thursday;;;;;;;;550;0;250;
08/04/2016;Friday;;;;;;;;550;0;250;
09/04/2016;Saturday;;;;;;;;550;0;250;
10/04/2016;Sunday;;;;;;;;550;0;250;
11/04/2016;Monday;;;;;;;;550;0;250;
12/04/2016;Tuesday;;;;;;;;550;0;250;
13/04/2016;Wednesday;;;;;;;;550;0;250;
14/04/2016;Thursday;;;;;;;;550;0;250;
15/04/2016;Friday;;;;;;;;550;0;250;
16/04/2016;Saturday;;;;;;;;550;0;250;
17/04/2016;Sunday;;;;;;;;550;0;250;
18/04/2016;Monday;;;;;;;;550;0;250;
19/04/2016;Tuesday;;;;;;;;550;0;250;
20/04/2016;Wednesday;;;;;;;;550;0;250;
21/04/2016;Thursday;;;;;;;;550;0;250;
22/04/2016;Friday;;;;;;;;550;0;250;
23/04/2016;Saturday;;;;;;;;550;0;250;
24/04/2016;Sunday;;;;;;;;550;0;250;
25/04/2016;Monday;;;;;;;;550;0;250;
26/04/2016;Tuesday;;;;;;;;550;0;250;
27/04/2016;Wednesday;;;;;;;;550;0;250;
28/04/2016;Thursday;;;;;;;;550;0;250;
29/04/2016;Friday;;;;;;;;550;0;250;
30/04/2016;Saturday;;;;;;;;550;0;250;
01/05/2016;Sunday;;;;;;;;550;0;250;
02/05/2016;Monday;;;;;;;;550;0;250;
03/05/2016;Tuesday;;;;;;;;550;0;250;
04/05/2016;Wednesday;;;;;;;;550;0;250;
05/05/2016;Thursday;;;;;;;;550;0;250;
06/05/2016;Friday;;;;;;;;550;0;250;
07/05/2016;Saturday;;;;;;;;550;0;250;
08/05/2016;Sunday;;;;;;;;550;0;250;
09/05/2016;Monday;;;;;;;;550;0;250;
10/05/2016;Tuesday;;;;;;;;550;0;250;
11/05/2016;Wednesday;;;;;;;;550;0;250;
12/05/2016;Thursday;;;;;;;;550;0;250;
13/05/2016;Friday;;;;;;;;550;0;250;
14/05/2016;Saturday;;;;;;;;550;0;250;
15/05/2016;Sunday;;;;;;;;550;0;250;
16/05/2016;Monday;;;;;;;;550;0;250;
17/05/2016;Tuesday;;;;;;;;550;0;250;
18/05/2016;Wednesday;;;;;;;;550;0;250;
19/05/2016;Thursday;;;;;;;;550;0;250;
20/05/2016;Friday;;;;;;;;550;0;250;
21/05/2016;Saturday;;;;;;;;550;0;250;
22/05/2016;Sunday;;;;;;;;550;0;250;
23/05/2016;Monday;;;;;;;;550;0;250;
24/05/2016;Tuesday;;;;;;;;550;0;250;
25/05/2016;Wednesday;;;;;;;;550;0;250;
26/05/2016;Thursday;;;;;;;;550;0;250;
27/05/2016;Friday;;;;;;;;550;0;250;
28/05/2016;Saturday;;;;;;;;550;0;250;
29/05/2016;Sunday;;;;;;;;550;0;250;
30/05/2016;Monday;;;;;;;;550;0;250;
31/05/2016;Tuesday;;;;;;;;550;0;250;
01/06/2016;Wednesday;;;;;;;;550;0;250;
02/06/2016;Thursday;;;;;;;;550;0;250;
03/06/2016;Friday;;;;;;;;550;0;250;
04/06/2016;Saturday;;;;;;;;550;0;250;
05/06/2016;Sunday;;;;;;;;550;0;250;
06/06/2016;Monday;;;;;;;;550;0;250;
07/06/2016;Tuesday;;;;;;;;550;0;250;
08/06/2016;Wednesday;;;;;;;;550;0;250;
09/06/2016;Thursday;;;;;;;;550;0;250;
10/06/2016;Friday;;;;;;;;550;0;250;
11/06/2016;Saturday;;;;;;;;550;0;250;
12/06/2016;Sunday;;;;;;;;550;0;250;
13/06/2016;Monday;;;;;;;;550;0;250;
